skpID,lng,lat,place_id,formatted_address,administrative_area_level_3
56.json,-6.913022,107.701445,ChIJ2-SHXzrdaC4Rgu97UuRsyPY,"Jl. Alun-Alun Utara No.211, Cigending, Ujung Berung, Kota Bandung, Jawa Barat 40611, Indonesia",Ujung Berung
57.json,-6.9475101,107.6722546,ChIJ07GPc5_CaC4ReE8-HV8wDeA,"Jl. Santosa Asih IV No.17, Cipamokolan, Rancasari, Kota Bandung, Jawa Barat 40292, Indonesia",Rancasari
58.json,-6.9623211,107.6571022,ElZKbC4gQ2lqYXd1cmEgSGlsaXIgTm8uNjQsIENpamF1cmEsIEJ1YWhiYXR1LCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAyODcsIEluZG9uZXNpYQ,"Jl. Cijawura Hilir No.64, Cijaura, Buahbatu, Kota Bandung, Jawa Barat 40287, Indonesia",Buahbatu
6.json,-6.890670099999999,107.6252792,ChIJ-6m6kKvnaC4R9J99HYtKMKA,"Jl. Sadang Tengah No.4, Sekeloa, Coblong, Kota Bandung, Jawa Barat 40133, Indonesia",Coblong
60.json,-6.9355005,107.7010775,ChIJUWB_hMXCaC4RB4Nq1ZJ3odk,"JL. Soekarno Hatta KM. 12,5, No. 791, Bandung, 40294, Mekar Mulya, Panyileukan, Bandung City, West Java, Indonesia",Panyileukan
61.json,-6.914131299999999,107.6984781,ChIJn1Oe-DndaC4RH1z97Yw6uVo,"Jl. A.H. Nasution No.82, Pakemitan, Cinambo, Kota Bandung, Jawa Barat 45474, Indonesia",Cinambo
62.json,-6.897547599999999,107.6718469,ChIJneeBKGPdaC4Rddo7MBPvUe4,"Mandalajati, Bandung City, West Java, Indonesia",Mandalajati
63.json,-6.909810999999999,107.6099604,ChIJrdjGhjfmaC4RvpbirzIfOdA,"Jl. Aceh No.51, Babakan Ciamis, Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Sumur Bandung
64.json,-6.9134539,107.6090197,El9KbC4gV2FzdHVrZW5jYW5hIE5vLjIsIEJhYmFrYW4gQ2lhbWlzLCBTdW11ciBCYW5kdW5nLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAxMTcsIEluZG9uZXNpYQ,"Jl. Wastukencana No.2, Babakan Ciamis, Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Sumur Bandung
65.json,-6.9163418,107.6335934,ChIJXyWHV8XnaC4RlIiZeM-B8Us,"Jl. Cianjur No.34, Kacapiring, Batununggal, Kota Bandung, Jawa Barat 40271, Indonesia",Batununggal
66.json,-6.9121177,107.5892421,ChIJcTu0tRPmaC4RRtBJ6JM4mG8,"Jl. Arjuna No.45, Husen Sastranegara, Cicendo, Kota Bandung, Jawa Barat 40174, Indonesia",Cicendo
67.json,-6.9079425,107.6132741,ElFKbC4gU2VyYW0gTm8uMiwgQ2l0YXJ1bSwgQmFuZHVuZyBXZXRhbiwgS290YSBCYW5kdW5nLCBKYXdhIEJhcmF0IDQwMTE1LCBJbmRvbmVzaWE,"Jl. Seram No.2, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",Bandung Wetan
68.json,-6.904403599999999,107.6285612,EltKbC4gVy5SLiBTdXByYXRtYW4gTm8uNzMsIENpaGFwaXQsIEJhbmR1bmcgV2V0YW4sIEtvdGEgQmFuZHVuZywgSmF3YSBCYXJhdCA0MDExNCwgSW5kb25lc2lh,"Jl. W.R. Supratman No.73, Cihapit, Bandung Wetan, Kota Bandung, Jawa Barat 40114, Indonesia",Bandung Wetan
69.json,-6.9462177,107.5934753,ChIJ-fGmur_oaC4RyESpq8NK8So,"Jl. Soekarno Hatta No.205, Situsaeur, Bojongloa Kidul, Kota Bandung, Jawa Barat 40233, Indonesia",Bojongloa Kidul
