administrative_area_level_3,count
Batununggal,3
Sumur Bandung,6
Regol,4
Batununggal,3
Bandung Wetan,3
Cibeunying Kaler,5
Cibeunying Kidul,9
Kecamatan Sawahan,5
Andir,7
Sukasari,7
Bojongloa Kaler,6
Coblong,4
Kiaracondong,9
